,URLCODE,Name,Descr,tags,Stars,MajLang,License,LastUpdated
0,1,/jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,"['python', 'numpy', 'scikit-learn', 'jupyter-notebook', 'pandas', 'matplotlib']",31600,Jupyter Notebook,0,"Nov 12, 2021"
1,1,/donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spar\u2026","['python', 'aws', 'data-science', 'machine-learning', 'caffe', 'theano', 'big-data', 'spark', 'deep-learning', 'hadoop', 'tensorflow', 'numpy', 'scikit-learn', 'keras', 'pandas', 'kaggle', 'scipy', 'matplotlib', 'mapreduce']",21800,Python,0,"Nov 4, 2021"
2,1,/datasciencemasters/go,The Open Source Data Science Masters,[],19600,0,Unlicense license,"Apr 18, 2021"
3,1,/academic/awesome-datascience,\U0001f4dd An awesome Data Science repository to learn and apply for real world problems.,"['data-science', 'machine-learning', 'data-mining', 'science', 'deep-learning', 'analytics', 'data-visualization', 'awesome-list', 'data-scientists', 'hacktoberfest']",17400,0,MIT license,"Nov 8, 2021"
4,1,/eugeneyan/applied-ml,\U0001f4da Papers & tech blogs by companies sharing their work on data science & machine learning in production.,"['machine-learning', 'data-science', 'deep-learning', 'search', 'natural-language-processing', 'reinforcement-learning', 'computer-vision', 'production', 'data-engineering', 'data-discovery', 'recsys', 'data-quality', 'applied-data-science', 'applied-machine-learning']",16600,0,MIT license,"Nov 8, 2021"
5,1,/virgili0/Virgilio,Your new Mentor for Data Science E-Learning.,"['data-science', 'python', 'nlp', 'learning', 'machine-learning', 'statistics', 'computer-vision', 'study', 'tensorflow', 'guide', 'scikit-learn', 'learning-python', 'path', 'datascience', 'business-intelligence', 'guidelines', 'machine-vision', 'hacktoberfest', 'virgilio', 'studypath']",13200,Jupyter Notebook,0,"Oct 19, 2021"
6,1,/ossu/data-science,\U0001f4ca Path to a free self-taught education in Data Science!,[],12400,0,0,"Oct 23, 2021"
7,1,/FavioVazquez/ds-cheatsheets,List of Data Science Cheatsheets to rule the world,"['python', 'r', 'cheatsheet', 'programming', 'spark', 'jupyter', 'datascience']",9300,0,MIT license,"Oct 31, 2019"
8,1,/ricklamers/gridstudio,Grid studio is a web-based application for data science with full integration of open source data science frameworks \u2026,[],8700,JavaScript,AGPL-3.0 license,"Oct 2, 2020"
9,1,/goplus/gop,"GoPlus - The Go+ language for engineering, STEM education, and data science","['golang', 'engineering', 'data-science', 'scientific-computing', 'data-analysis', 'gop', 'goplus', 'data-tech', 'stem-education']",7700,Go,Apache-2.0 license,"Nov 12, 2021"
10,1,/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!","['data-science', 'python', 'pandas', 'data-visualization', 'data-analysis']",6700,Jupyter Notebook,MIT license,"Nov 12, 2021"
11,1,/joelgrus/data-science-from-scratch,code for Data Science From Scratch book,[],6500,Python,MIT license,"Apr 27, 2021"
12,1,/jwasham/computer-science-flash-cards,Mini website for testing both general CS knowledge and enforce coding practice and common algorithm/data structure me\u2026,[],6200,HTML,CC-BY-SA-4.0 license,"Jul 21, 2021"
13,1,/firmai/industry-machine-learning,A curated list of applied machine learning and data science notebooks and libraries across different industries (by @\u2026,"['data-science', 'machine-learning', 'datascience', 'python', 'example', 'jupyter-notebook', 'practical-machine-learning', 'firmai']",6100,Jupyter Notebook,0,"Oct 20, 2021"
14,1,/fengdu78/Data-Science-Notes,\u6570\u636e\u79d1\u5b66\u7684\u7b14\u8bb0\u4ee5\u53ca\u8d44\u6599\u641c\u96c6,[],5900,Jupyter Notebook,0,"Aug 16, 2021"
15,1,/rushter/data-science-blogs,A curated list of data science blogs,"['data-science', 'machine-learning']",5700,Python,0,"Aug 3, 2021"
16,1,/pachyderm/pachyderm,Reproducible Data Science at Scale!,"['data-science', 'go', 'kubernetes', 'docker', 'distributed-systems', 'big-data', 'analytics', 'containers', 'data-analysis', 'pachyderm']",5300,0,Go,"Nov 12, 2021"
17,1,/dformoso/machine-learning-mindmap,"A mindmap summarising Machine Learning concepts, from Data Analysis to Deep Learning.","['python', 'learning', 'science', 'data', 'machine-learning', 'jupyter', 'machine', 'cheatsheet', 'mindmap']",5300,0,Apache-2.0 license,"May 30, 2020"
18,1,/drivendata/cookiecutter-data-science,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.","['cookiecutter', 'data-science', 'machine-learning', 'ai', 'cookiecutter-template', 'cookiecutter-data-science']",5200,Python,MIT license,"Nov 8, 2021"
19,1,/Netflix/metaflow,\U0001f680 Build and manage real-life data science projects with ease!,"['python', 'data-science', 'machine-learning', 'productivity', 'r', 'ai', 'deep-learning', 'reproducible-research', 'ml', 'datascience', 'rstats', 'r-package', 'model-management', 'ml-infrastructure', 'mlops', 'ml-platform']",4900,Python,Apache-2.0 license,"Nov 12, 2021"
20,1,/Leo-G/Data-Science-Wiki,"A wiki of DataScience, Statistics, Maths, R,Python, AI, Machine Learning, Automation, Devops Tools, Bash, Linux Tutor\u2026",[],4800,0,MIT license,"Mar 31, 2021"
21,1,/therealsreehari/Learn-Data-Science-For-Free,This repositary is a combination of different resources lying scattered all over the internet. The reason for making \u2026,"['data-science', 'machine-learning', 'natural-language-processing', 'computer-vision', 'machine-learning-algorithms', 'artificial-intelligence', 'neural-networks', 'deeplearning', 'datascienceproject']",4800,0,GPL-3.0 license,"Apr 2, 2021"
22,1,/alexeygrigorev/data-science-interviews,Data science interview questions and answers,"['data-science', 'machine-learning', 'interview-questions', 'data-science-interviews']",4700,HTML,CC-BY-4.0 license,"Oct 28, 2021"
23,1,/quantumblacklabs/kedro,"A Python framework for creating reproducible, maintainable and modular data science code.","['pipeline', 'pipelines-as-code', 'hacktoberfest', 'data-versioning', 'data-abstraction', 'mlops', 'kedro', 'cookiecutter-data-science']",4700,Python,Apache-2.0 license,"Nov 12, 2021"
24,1,/MrMimic/data-scientist-roadmap,"Toturials coming with the ""data science roadmap"" picture.",[],4500,Python,GPL-3.0 license,"Dec 11, 2020"
25,1,/ujjwalkarn/DataSciencePython,common data analysis and machine learning tasks using python,"['python', 'data-science', 'data-scientists', 'python-tutorial']",4400,Python,MIT license,"Aug 25, 2021"
26,1,/tangyudi/Ai-Learn,\u4eba\u5de5\u667a\u80fd\u5b66\u4e60\u8def\u7ebf\u56fe\uff0c\u6574\u7406\u8fd1200\u4e2a\u5b9e\u6218\u6848\u4f8b\u4e0e\u9879\u76ee\uff0c\u514d\u8d39\u63d0\u4f9b\u914d\u5957\u6559\u6750\uff0c\u96f6\u57fa\u7840\u5165\u95e8\uff0c\u5c31\u4e1a\u5b9e\u6218\uff01\u5305\u62ec\uff1aPython\uff0c\u6570\u5b66\uff0c\u673a\u5668\u5b66\u4e60\uff0c\u6570\u636e\u5206\u6790\uff0c\u6df1\u5ea6\u5b66\u4e60\uff0c\u8ba1\u7b97\u673a\u89c6\u89c9\uff0c\u81ea\u7136\u8bed\u8a00\u5904\u7406\uff0cPyTorch tensorflow machine-lear\u2026,"['pytorch', 'deep-learning', 'keras', 'python', 'numpy', 'pandas', 'nlp', 'data-science', 'machine-learning', 'data-mining', 'algorithm', 'caffe', 'tensorflow', 'cv', 'mathematics', 'seaborn', 'artificial-intelligence', 'data-analysis', 'matplotlib', 'tensorflow2']",4300,0,0,"Feb 6, 2020"
27,1,/WillKoehrsen/Data-Analysis,Data Science Using Python,[],4000,Jupyter Notebook,MIT license,"Feb 4, 2021"
28,1,/yhat/rodeo,A data science IDE for Python,[],3900,JavaScript,0,"Apr 16, 2018"
