,URLCODE,Name,Descr,tags,Stars,MajLang,License,LastUpdated
0,0,/jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,"['python', 'numpy', 'scikit-learn', 'jupyter-notebook', 'pandas', 'matplotlib']",31600,Jupyter Notebook,0,"Nov 12, 2021"
1,0,/donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spar\u2026","['python', 'aws', 'data-science', 'machine-learning', 'caffe', 'theano', 'big-data', 'spark', 'deep-learning', 'hadoop', 'tensorflow', 'numpy', 'scikit-learn', 'keras', 'pandas', 'kaggle', 'scipy', 'matplotlib', 'mapreduce']",21800,Python,0,"Nov 4, 2021"
2,0,/ossu/data-science,\U0001f4ca Path to a free self-taught education in Data Science!,[],12400,0,0,"Oct 23, 2021"
3,0,/joelgrus/data-science-from-scratch,code for Data Science From Scratch book,[],6500,Python,MIT license,"Apr 27, 2021"
4,0,/WillKoehrsen/Data-Analysis,Data Science Using Python,[],4000,Jupyter Notebook,MIT license,"Feb 4, 2021"
5,0,/ujjwalkarn/DataSciencePython,common data analysis and machine learning tasks using python,"['python', 'data-science', 'data-scientists', 'python-tutorial']",4400,Python,MIT license,"Aug 25, 2021"
6,0,/DataScienceSpecialization/DataScienceSpecialization.github.io,http://DataScienceSpecialization.github.io,[],1600,CSS,0,"Dec 4, 2020"
7,0,/georgearun/Data-Science--Cheat-Sheet,Cheat Sheets,[],378,0,0,"Nov 19, 2020"
8,0,/fengdu78/Data-Science-Notes,\u6570\u636e\u79d1\u5b66\u7684\u7b14\u8bb0\u4ee5\u53ca\u8d44\u6599\u641c\u96c6,[],5900,Jupyter Notebook,0,"Aug 16, 2021"
9,0,/jonathan-bower/DataScienceResources,Open Source Data Science Resources.,[],2600,0,0,"Nov 4, 2021"
10,0,/rushter/data-science-blogs,A curated list of data science blogs,"['data-science', 'machine-learning']",5700,Python,0,"Aug 3, 2021"
11,0,/sux13/DataScienceSpCourseNotes,Compiled Notes for all 9 courses in the Coursera Data Science Specialization,[],720,HTML,0,"Mar 28, 2021"
12,0,/drivendata/cookiecutter-data-science,"A logical, reasonably standardized, but flexible project structure for doing and sharing data science work.","['cookiecutter', 'data-science', 'machine-learning', 'ai', 'cookiecutter-template', 'cookiecutter-data-science']",5200,Python,MIT license,"Nov 8, 2021"
13,0,/datasciencemasters/go,The Open Source Data Science Masters,[],19600,0,Unlicense license,"Apr 18, 2021"
14,0,/ujjwalkarn/DataScienceR,"a curated list of R tutorials for Data Science, NLP and Machine Learning","['data-science', 'text-mining', 'r', 'datascience']",1700,R,MIT license,"Oct 19, 2020"
15,0,/nborwankar/LearnDataScience,Open Content for self-directed learning in data science,[],2700,Jupyter Notebook,0,"Oct 22, 2019"
16,0,/mqvida/PowerBI-DataScience,Repositório do Curso Microsoft Power BI Para Data Science,[],17,0,0,"Jun 6, 2017"
17,0,/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!","['data-science', 'python', 'pandas', 'data-visualization', 'data-analysis']",6700,Jupyter Notebook,MIT license,"Nov 12, 2021"
18,0,/alexeygrigorev/data-science-interviews,Data science interview questions and answers,"['data-science', 'machine-learning', 'interview-questions', 'data-science-interviews']",4700,HTML,CC-BY-4.0 license,"Oct 28, 2021"
19,0,/Leo-G/Data-Science-Wiki,"A wiki of DataScience, Statistics, Maths, R,Python, AI, Machine Learning, Automation, Devops Tools, Bash, Linux Tutor\u2026",[],4800,0,MIT license,"Mar 31, 2021"
20,0,/briandalessandro/DataScienceCourse,This holds iPython notebooks and lecture slides for the Intro to Data Science Master's course I teach at NYU.,[],643,Jupyter Notebook,0,"Dec 20, 2020"
21,0,/chaconnewu/free-data-science-books,Free resources for learning data science,[],2300,0,Unlicense license,"Oct 29, 2018"
22,0,/KeithGalli/Pandas-Data-Science-Tasks,Set of real world data science tasks completed using the Python Pandas library,[],434,Jupyter Notebook,0,"Oct 9, 2021"
